state,incarceration_rate,graduation_rate
State_1,487.25,88.96
State_2,439.63,80.45
State_3,498.58,92.01
State_4,564.23,77.99
State_5,432.44,87.93
State_7,568.44,80.05
State_8,507.56,82.17
State_9,414.79,85.5
State_10,490.69,82.48
State_11,415.24,77.25
State_12,415.07,85.34
State_13,468.15,79.69
State_14,306.5,87.37
State_16,407.83,92.75
State_17,374.04,81.08
State_18,473.57,83.39
State_19,381.9,89.07
State_20,344.08,78.85
State_21,559.92,86.14
State_22,433.07,91.54
State_23,455.06,76.96
State_24,343.14,85.92
State_25,409.17,86.3
State_26,458.32,88.91
State_27,363.68,78.82
State_28,478.18,78.4
State_29,404.95,87.61
State_31,404.87,86.25
State_33,448.99,81.6
State_34,370.67,86.16
State_35,511.69,86.47
State_37,465.66,94.33
State_39,350.39,79.04
State_40,464.76,88.28
State_42,462.85,88.94
State_43,441.33,90.79
State_44,427.42,80.9
State_45,339.11,89.82
State_46,396.01,87.06
State_47,415.45,89.11
State_48,529.28,94.48
State_49,475.77,83.77
State_50,317.77,81.23
State_51,474.31,80.55
State_52,421.12,80.92
State_54,495.88,86.71
State_55,527.32,86.38
State_56,519.85,89.14
State_57,387.06,85.07
State_58,426.81,92.27
State_60,523.17,98.6
State_61,414.06,88.13
State_62,436.08,80.71
State_63,367.02,79.65
State_64,360.28,87.41
State_65,510.94,83.88
State_66,551.72,88.57
State_67,444.6,87.37
State_68,525.26,84.64
State_69,477.12,80.77
State_70,401.62,77.43
State_71,477.1,82.77
State_72,565.35,89.28
State_73,447.31,86.07
State_74,567.35,78.77
State_76,511.64,86.93
State_77,456.53,80.58
State_78,427.57,85.77
State_79,456.88,85.29
State_81,433.52,86.79
State_82,476.78,87.8
State_83,560.84,90.42
State_84,411.13,90.27
State_86,412.37,80.31
State_88,474.66,87.57
State_89,410.27,87.58
State_91,457.28,87.85
State_92,522.65,90.68
State_93,397.35,89.77
State_94,425.43,88.26
State_96,340.24,88.79
State_98,469.58,83.82
State_99,450.38,82.57
State_100,432.41,85.41
State_101,343.85,96.57
State_103,424.3,88.43
State_104,389.83,76.94
State_105,437.9,82.64
State_106,480.3,90.44
State_108,463.09,79.61
State_109,469.32,81.42
State_110,444.42,88.4
State_112,448.01,86.08
State_113,454.52,85.23
State_115,435.57,95.72
State_116,472.62,88.17
State_117,447.4,74.87
State_118,362.35,85.93
State_119,535.71,81.69
State_120,506.39,89.26
